9    110                       
67   112
68   113
69   114
70  115
71  116
72  117
73  118
74  119
75  120
76  121
95  122
96  123
49  1
10  2
11  3
12  4
13  5
14  6
15  7
16  8
17  9
18  10
19  11
20  12
0   13
22  15
23  16
24  17
25  18
26  19
27  20
28  21
29  22
30  23
31  24
32  25
33  26
34  27
35  28
36  43 
66  30
38  31
39  32
40  33
41  34
42  35
43  36
44  37
45  38
46  39
47  40
48  41
51  42
50  44
94  45 
52  46
53  47
54  48
55  49
56  50
57  51
58  52
59  53
60  54
61  55
62  57
37  58
64  60
65  61
113 62
109 64
111 124
78  125
110 126
106 75
97  80
99  85
107 76
103 81 
105 86
98 83
100 79
104 84
102 89
77  90 
112 95
63  100
82  105
79  91
80  96
81  101
86  106
83  92
84  97
85  102
87 93
88 98
89 103
108 108
90 99
91 104
